id,code,loc_ru,loc_en,name_ru,name_en
5332,53320000,"Точ, Лин, Плщ","Point, Line, Poly","телевизионные центры",
5333,53330000,"Точ",Point,"телевизионные башни",
5334,53340000,"Точ",Point,"мачты (радио и радиорел. теле.)",
5335,53350000,"Точ, Плщ","Point, Poly","метеорологические станции",
5336,53360000,"Точ",Point,"телеграф. конторы, телефон. ст.",
53411,53411000,"Точ, Плщ","Point, Poly","монастыри христианские",
53412,53412000,"Точ, Плщ","Point, Poly","монастыри буддийские",
5342,53420000,"Точ, Плщ","Point, Poly","церкви, костелы, кирхи",
5343,53430000,"Точ, Плщ","Point, Poly","мечети",
5344,53440000,"Точ, Плщ","Point, Poly","буддийские храмы и пагоды",
5345,53450000,"Точ",Point,"часовни",
5346,53460000,"Точ",Point,"вершина церкви",
53511,53511000,"Плщ, Век","Poly, Vect","кладбища с растительностью",
53512,53512000,"Плщ, Век","Poly, Vect","кладбища без растительности",
5352,53520000,"Точ, Плщ","Point, Poly","выдающиеся памятники",
5353,53530000,"Точ",Point,"памятники, монументы, могилы",
5354,53540000,"Точ",Point,"мазары, субурганы, обо",
5355,53550000,"Точ, Плщ","Point, Poly","скотомогильники",
536,53600000,"Точ, Лин, Плщ, Век","Point, Line, Poly, Vect","прочие соц. культурные объекты",
5361,53610000,"Точ, Лин, Плщ, Век","Point, Line, Poly, Vect","здания соц. культур. назначения",
537,53700000,"Точ, Плщ","Point, Poly","спортивные сооружения",
5371,53710000,"Плщ",Poly,"спорт. сооружения открыт. типа",
53711,53711000,"Плщ, Век","Poly, Vect","стадионы",
53712,53712000,"Плщ",Poly,"спорт площадки",
53713,53713000,"Точ",Point,"трамплины",
5372,53720000,"Лин, Плщ","Line, Poly","спортивные сооружения крытые",
5389,53890000,"Плщ",Poly,"места развлечений (парки и т. п)",
541,54100000,"Точ",Point,"шахт. стволы, штол. на туннелях ⚔",
542,54200000,"Лин",Line,"граница торф., террик., отвалов",
61111,61111000,"Лин",Line,"желез. дор. ширококол.",
61112,61112000,"Лин",Line,"железные дороги узкоколейные",
61113,61113000,"Лин",Line,"железные дороги монорельсовые",
61114,61114000,"Лин",Line,"полотно разобранных жел. дорог",
61121,61121000,"Лин",Line,"станционные пути",
611221,61122100,"Лин",Line,"тупики ⚔",
611222,61122200,"Лин",Line,"подьездные пути ⚔",
61123,61123000,"Лин",Line,"линии метрополитена",
61124,61124000,"Лин",Line,"трамвайные линии",
6121,61210000,"Лин",Line,"автомагистрали",
6122,61220000,"Лин",Line,"усовершенствованные шоссе",
6123,61230000,"Лин",Line,"шоссе",
6131,61310000,"Лин",Line,"улучшенные грунт. дороги",
6132,61320000,"Лин",Line,"грунтовые проселочные дороги",
6133,61330000,"Лин",Line,"полевые и лесные дороги",
6141,61410000,"Лин",Line,"караван. пути и вьючные тропы",
6142,61420000,"Лин",Line,"дорожки и аллеи в парках",
615,61500000,"Лин",Line,"автодороги с деревян. покрытием",
616,61600000,"Лин",Line,"зимние дороги (зимники, автозим)",
6161,61610000,"Лин",Line,"зимние дороги (неотображаемые)",
61611,61611000,"Лин",Line,"группы штрихов зимних дорог",
617,61700000,"Лин",Line,"фуникулеры",
6181,61810000,"Лин",Line,"подвесные дороги",
6191Line,61910000,"Лин",Line,"участки дор. с большими уклон. ⚔",
6191Vect,61910000,"Век",Vect,"участки дорог с большим уклон. ⚔",
6192,61920000,"Век",Vect,"участки дорог с мал. поворотами ⚔",
